Mission Number,Ship,Player
1534,Wraith,Meow
1535,EX04239,AYBABTU
1536,Exarch,Meow
1537,Kibarrax,Longge
1538,Shogun,Elegater
1539,Exarch,Vain
1540,Exarch,Meow
1541,Kibarrax,Longge
1542,Shogun,Elegater
1543,Exarch,Meow
1544,Wraith,Abh
1545,Photurius,Vain
1546,Kibarrax,Longge
1547,Proxymar,Wowbadger
1548,Shogun,Elegater
1549,Exarch,Hi
1550,Wraith,AYBABTU
1551,EX04239,Longge
1552,Wraith,Meow
1553,Phoenix,Syzygy
1554,Exarch,Superior
1555,Kibarrax,Itvara
1556,EX04239,AYBABTU
1557,Exarch,Meow
1558,Shogun,Elegater
1559,Kibarrax,Longge
1560,Shogun,Elegater
1561,Exarch,Passerby
1562,Kibarrax,Longge
1563,Wrackr,CIACONA
1564,EX04239,Longge
1565,Shogun,Elegater
1566,Krillou,CIACONA
1567,Kibarrax,Longge
1568,NC-150,Syzygy
1569,EX04239,Longge
1570,Exarch,Meow
1571,Kibarrax,Wowbadger
1572,Kibarrax,Longge
1573,Wraith,Meow
1574,Exarch,Hi
1575,Kibarrax,Longge
1576,Kibarrax,Longge
1577,EX04239,Longge
1578,Exarch,Passerby
1579,Shogun,Elegater
1580,EX04239,Passerby
1581,Shogun,Elegater
1582,Exarch,Meow
1583,Kibarrax,Longge
1584,Saber,Passerby
1585,Exarch,Meow
1586,Shogun,Passerby
1587,EX04239,Longge
1588,Kibarrax,Longge
1589,Proxymar,Longge
1590,EX04239,Longge
1591,Proxymar,Wowbadger
1592,Wraith,Meow
1593,Kibarrax,Wowbadger
1594,Kibarrax,Wowbadger
1595,Phoenix,Syzygy
1596,Proxymar,Hi
1597,Kibarrax,Longge
1598,Shogun,Elegater
1599,Exarch,Meow
1600,Kibarrax,Longge
1601,Shogun,Elegater
1602,Shogun,Elegater
1603,Shogun,Elegater
1604,Kibarrax,Longge
1605,Shogun,Elegater
1606,Proxymar,Longge
1607,Wraith,Hi
1608,Von Braun,Wowbadger
1609,Torrent,Syzygy
1610,NC-150,Syzygy
1611,Atlas,Syzygy
1612,Jeria,Itvara
1613,Kibarrax,Longge
1614,Kibarrax,Passerby
1615,Shogun,Itvara
1616,Jeria,CIACONA
1617,Proxymar,Wowbadger
1618,Wraith,Meow
1619,Kibarrax,Passerby
1620,Jeria,CIACONA
1621,EX04239,Longge
1622,Kibarrax,Longge
1623,Shogun,Elegater
1624,Jeria,Itvara
1625,Kibarrax,Longge
1626,Shogun,Elegater
1627,Jeria,Itvara
1628,Shogun,Elegater
1629,Shogun,Passerby
1630,Kibarrax,Longge
1631,Exarch,Itvara
1632,Shogun,Elegater
1633,Exarch,Passerby
1634,Kibarrax,Longge
1635,Kibarrax,Longge
1636,Kibarrax,Longge
1637,Phoenix,Syzygy
1638,Kibarrax,Longge
1639,Kibarrax,Longge
1640,Torrent,Syzygy
1641,Jeria,Itvara
1642,Kibarrax,Longge
1643,Kibarrax,Longge
1644,Shogun,Elegater
1645,Wraith,Hi
1646,Kibarrax,Longge
1647,Shogun,Passerby
1648,Shogun,Elegater
1649,Shogun,Elegater
1650,Von Braun,Wowbadger
1651,Kibarrax,Longge
1652,Proxymar,Wowbadger
1653,EX04239,Passerby
1654,Proxymar,Wowbadger
1655,Shogun,Elegater
1656,Kibarrax,Longge
1657,Kibarrax,Longge
1658,Phoenix,Syzygy
1659,Proxymar,Longge
1660,Kibarrax,Longge
1661,Kibarrax,Longge
1662,Proxymar,Wowbadger
1663,Shogun,Elegater
1664,Von Braun,Wowbadger
1665,Jeria,Itvara
1666,Proxymar,Longge
1667,Kibarrax,Longge
1668,Shogun,Elegater
1669,Proxymar,Longge
1670,Shogun,Elegater
1671,EX04239,Longge
1672,Kibarrax,Longge
1673,Proxymar,Longge
1674,Kibarrax,Longge
1675,Jeria,CIACONA
1676,Kibarrax,Longge
1677,Kibarrax,Longge
1678,Kibarrax,Longge
1679,Phoenix,Syzygy
1680,Kibarrax,Longge
1681,Kibarrax,Longge
1682,EX04239,Longge
1683,Shogun,Elegater
1684,Kibarrax,Longge
1685,Kibarrax,Longge
1686,Jeria,Itvara
1687,Exarch,Passerby
1688,Kibarrax,Hi
1689,Wraith,Meow
1690,Proxymar,Longge
1691,Shogun,Passerby
1692,Shogun,Elegater
1693,Kibarrax,Longge
1694,Proxymar,Longge
1695,EX04239,Longge
1696,Proxymar,Longge
1697,Kibarrax,Longge
1698,Kibarrax,Longge
1699,Kibarrax,Longge
1700,Phoenix,Syzygy
1701,Kibarrax,Longge
1702,Kibarrax,Longge
1703,EX04239,Longge
1704,Exarch,Passerby
1705,EX04239,Longge
1706,Kibarrax,Longge
1707,Shogun,Elegater
1708,Exarch,Itvara
1709,Kibarrax,Longge
1710,Shogun,Elegater
1711,Proxymar,Longge
1712,Shogun,Elegater
1713,EX04239,Longge
1714,Kibarrax,Hi
1715,Jeria,CIACONA
1716,Kibarrax,Longge
1717,Proxymar,Cute new dog
1718,Kibarrax,Longge
1719,EX04239,Longge
1720,Kibarrax,Longge
1721,Phoenix,Syzygy
1722,Proxymar,Hi
1723,Kibarrax,Longge
1724,Torrent,Syzygy
1725,Proxymar,Longge
1726,Kibarrax,Longge
1727,Kibarrax,Longge
1728,NC-150,Syzygy
1729,Proxymar,Longge
1730,Kibarrax,Longge
1731,Juggernaut,Owl
1732,Shogun,Elegater
1733,Wraith,Meow
1734,Shogun,Elegater
1735,Kibarrax,Longge
1736,Shogun,Elegater
1737,Kibarrax,Longge
1738,Jeria,Sundog
1739,Kibarrax,Longge
1740,Shogun,Elegater
1741,Kibarrax,Longge
1742,Qhelqod,ablcsteve
1743,Kibarrax,Longge
1744,Kibarrax,Longge
1745,Kibarrax,Longge
1746,Jeria,Sundog
1747,Kibarrax,Longge
1748,EX04239,Longge
1749,Jeria,Sundog
1750,Shogun,Elegater
1751,Kibarrax,Longge
1752,Wrackr,CIACONA
1753,Shogun,Elegater
1754,Shogun,Elegater
1755,Von Braun,Wowbadger
1756,Kibarrax,Hi
1757,Proxymar,Wowbadger
1758,Kibarrax,Longge
1759,Jeria,Sundog
1760,Kibarrax,Longge
1761,Kibarrax,Longge
1762,Kibarrax,Longge
1763,Phoenix,Van Darkholm
1764,Proxymar,Wowbadger
1765,Kibarrax,Kibochadhausen
1766,Shogun,Elegater
1767,Wraith,Meow
1768,Kibarrax,Longge
1769,Kibarrax,Longge
1770,Jeria,Sundog
1771,Proxymar,Wowbadger
1772,Kibarrax,Hi
1773,Wrackr,Wowbadger
1774,Jeria,Sundog
1775,Shogun,Elegater
1776,Photurius,Abh
1777,Kibarrax,Hi
1778,Proxymar,Wowbadger
1779,EX04239,AYBABTU
1780,Jeria,Sundog
1781,Kibarrax,Longge
1782,Kibarrax,Longge
1783,Kibarrax,Longge
1784,Phoenix,yelell
1785,Kibarrax,Longge
1786,Kibarrax,Longge
1787,Kibarrax,Longge
1788,Proxymar,Longge
1789,Kibarrax,Longge
1790,Kibarrax,Hi
1791,Jeria,Sundog
1792,Proxymar,Longge
1793,Kibarrax,Longge
1794,Juggernaut,Lost in the Moonlight
1795,Proxymar,Longge
1796,Shogun,Creamz
1797,EX04239,Longge
1798,Kibarrax,Longge
1799,Jeria,Sundog
1800,EX04239,Longge
1801,Proxymar,Longge
1802,Kibarrax,Longge
1803,Kibarrax,Longge
1804,Kibarrax,Longge
1805,Jeria,Sundog
1806,Proxymar,Wowbadger
1807,Shogun,Elegater
1808,EX04239,Longge
1809,Proxymar,Longge
1810,Von Braun,Wowbadger
1811,Kibarrax,Longge
1812,Jeria,Sundog
1813,Proxymar,Longge
1814,Kibarrax,Longge
1815,Shogun,Creamz
1816,Proxymar,Longge
1817,Shogun,Creamz
1818,EX04239,Longge
1819,Kibarrax,Longge
1820,Proxymar,Longge
1821,Shogun,Elegater
1822,Jeria,Sundog
1823,Kibarrax,Longge
1824,Kibarrax,Longge
1825,Kibarrax,Longge
1826,Phoenix,D-chi
1827,Kibarrax,Longge
1828,Kibarrax,Longge
1829,Kibarrax,Longge
1830,Jeria,Sundog
1831,Kibarrax,Longge
1832,Kibarrax,Longge
1833,Jeria,Sundog
1834,Jeria,Sundog
1835,Kibarrax,Longge
1836,Wrackr,Wowbadger
1837,Proxymar,Longge
1838,Shogun,Creamz
1839,Von Braun,Wowbadger
1840,Kibarrax,Longge
1841,Kibarrax,Longge
1842,Shogun,Bocochi
1843,Jeria,Sundog
1844,Kibarrax,Hi
1845,Kibarrax,Longge
1846,Kibarrax,Longge
1847,Proxymar,Longge
1848,Kibarrax,Longge
1849,Kibarrax,Longge
1850,Phoenix,D-chi
1851,Jeria,Sundog
1852,Kibarrax,Longge
1853,Kibarrax,Longge
1854,Jeria,Superior
1855,Proxymar,Longge
1856,Kibarrax,Longge
1857,Wrackr,Wowbadger
1858,Exarch,Superior
1859,Wraith,Abh
1860,Shogun,Creamz
1861,Kibarrax,Longge
1862,NC-150,ablcsteve
1863,Kibarrax,Longge
1864,Jeria,Sundog
1865,Kibarrax,Longge
1866,EX04239,Longge
1867,Kibarrax,Longge
1868,Jeria,Sundog
1869,Proxymar,Wowbadger
1870,Kibarrax,Longge
1871,Kibarrax,Longge
1872,Proxymar,Longge
1873,Kibarrax,Longge
1874,Kibarrax,Longge
1875,Jeria,Sundog
1876,Jeria,Sundog
1877,Kibarrax,Longge
1878,Wrackr,ablcsteve
1879,Proxymar,Longge
1880,Shogun,Creamz
1881,EX04239,Longge
1882,Kibarrax,Longge
1883,Proxymar,Hi
1884,Qhelqod,ee.produktionen
1885,Jeria,Sundog
1886,Kibarrax,Longge
1887,Kibarrax,Longge
1888,Kibarrax,Itvara
1889,Phoenix,Lost in the Moonlight
1890,Kibarrax,Itvara
1891,Kibarrax,Itvara
1892,Kibarrax,Itvara
1893,Jeria,Sundog
1894,Kibarrax,Itvara
1895,Kibarrax,Itvara
1896,Jeria,Sundog
1897,Jeria,Sundog
1898,Kibarrax,Itvara
1899,Juggernaut,Flyingfish 812
1900,Jeria,Sundog
1901,Shogun,NDT
1902,EX04239,Itvara
1903,Kibarrax,Itvara
1904,Proxymar,Hi
1905,EX04239,AYBABTU
1906,Jeria,Sundog
1907,Kibarrax,Itvara
1908,Kibarrax,Itvara
1909,Kibarrax,Itvara
1910,Jeria,Sundog
1911,Proxymar,Wowbadger
1912,Wraith,Hi
1913,Kibarrax,Itvara
1914,Jeria,Sundog
1915,Kibarrax,Itvara
1916,Kibarrax,Itvara
1917,Jeria,Sundog
1918,Jeria,Sundog
1919,Kibarrax,Itvara
1920,Jeria,Sundog
1921,Jeria,Sundog
1922,Corsair,Care
1923,Kibarrax,Itvara
1924,Kibarrax,Itvara
1925,Kibarrax,Itvara
1926,EX04239,AYBABTU
1927,Jeria,Sundog
1928,Kibarrax,Itvara
1929,EX04239,Itvara
1930,Kibarrax,Hi
1931,Jeria,Sundog
1932,Kibarrax,Itvara
1933,Kibarrax,Itvara
1934,Kibarrax,Itvara
1935,Kibarrax,Itvara
1936,Kibarrax,Itvara
1937,Kibarrax,Itvara
1938,Jeria,Sundog
1939,Jeria,Sundog
1940,Kibarrax,Arrow
1941,Shogun,Xinshou Village
1942,Jeria,Sundog
1943,Shogun,Care
1944,Krillou,CIACONA
1945,Kibarrax,Hi
1946,Proxymar,Hi
1947,Shogun,NDT
1948,Jeria,Sundog
1949,Wraith,Hi
1950,Kibarrax,Itvara
1951,Kibarrax,Hi
1952,Phoenix,D-chi
1953,Proxymar,Hi
1954,Kibarrax,Hi
1955,EX04239,Itvara
1956,Kibarrax,Itvara
1957,Kibarrax,Hi
1958,Kibarrax,Hi
1959,Jeria,Sundog
1960,Kibarrax,Itvara
1961,Kibarrax,Hi
1962,Jeria,Sundog
1963,Kibarrax,Itvara
1964,Shogun,NDT
1965,Kibarrax,Hi
1966,Kibarrax,Hi
1967,Proxymar,Hi
1968,EX04239,Itvara
1969,Jeria,Sundog
1970,Kibarrax,Hi
1971,Kibarrax,Hi
1972,Kibarrax,Hi
1973,NC-150,Care
1974,Proxymar,Hi
1975,Kibarrax,Hi
1976,Kibarrax,Hi
1977,Jeria,Sundog
1978,EX04239,Itvara
1979,Kibarrax,Hi
1980,Jeria,Sundog
1981,Kibarrax,Hi
1982,Kibarrax,Hi
1983,Jeria,Sundog
1984,Proxymar,Hi
1985,Shogun,Xinshou Village
1986,Von Braun,Wowbadger
1987,Kibarrax,Hi
1988,Jeria,Sundog
1989,Shogun,Xinshou Village
1990,Jeria,Sundog
1991,Kibarrax,Hi
1992,Kibarrax,Hi
1993,Kibarrax,Hi
1994,Jeria,Sundog
1995,Proxymar,Hi
1996,Kibarrax,Hi
1997,Kibarrax,Hi
1998,Jeria,Sundog
1999,Kibarrax,Hi
2000,Kibarrax,Hi
2001,Jeria,Sundog
2002,Jeria,Hi
2003,Kibarrax,Hi
2004,Juggernaut,Hi
2005,Proxymar,Hi
2006,Shogun,Flyingfish 812
2007,Kibarrax,Hi
2008,Kibarrax,Hi
2009,Proxymar,Hi
2010,Kibarrax,Hi
2011,Jeria,Sundog
2012,Kibarrax,Longge
2013,Kibarrax,Hi
2014,Kibarrax,Hi
2015,Jeria,Hi
2016,Proxymar,Hi
2017,Wraith,Hi
2018,Phoenix,Hi
2019,Proxymar,Hi
2020,Kibarrax,Hi
2021,Kibarrax,Hi
2022,Jeria,Hi
2023,Proxymar,Hi
2024,Kibarrax,Hi
2025,Juggernaut,Hi
2026,Proxymar,Hi
2027,Shogun,Hi
2028,EX04239,Hi
